Table name: `stand_alone_survival`
Description: Right-censored survival information of each patient (overall survival; OS, progression free survival; PFS) as well as various treatment lines and treatment responses (disease progression). PFS by treatment line is also available.
Format: column_number | field_name | description
# Identifier columns
1|public_id|Index column. Patient public identifier. MMRF_ followed by 4 unique digits. e.g. MMRF_1234
# Ignore these columns, do not SELECT them using SQL queries
91|pfsdy|Ignore #PFS date
92|ttpfs|Ignore #Time to PFS
95|ttcpfs|Ignore #Time to PFS event (censored) (days)
96|ttpfsw|Ignore #Time to PFS (wk)
97|ttcpfsw|Ignore #Time to PFS event (censored) (wk)
98|pfsdy1|Ignore #PFS date line 1
99|ttpfs1|Ignore #Time to PFS line 1
103|ttpfs1w|Ignore #Time to PFS (wk) line 1
104|ttcpfs1w|Ignore #Time to PFS event (censored) (wk) line 1
105|pfsdy2|Ignore #PFS date line 2
106|ttpfs2|Ignore #Time to PFS line 2
110|ttpfs2w|Ignore #Time to PFS (wk) line 2
111|ttcpfs2w|Ignore #Time to PFS event (censored) (wk) line 2
112|pfsdy3|Ignore #PFS date line 3
113|ttpfs3|Ignore #Time to PFS line 3
117|ttpfs3w|Ignore #Time to PFS (wk) line 3
118|ttcpfs3w|Ignore #Time to PFS event (censored) (wk) line 3
119|ttos|Ignore #Time to OS
122|ttcos|Ignore #Time to OS event (censored) (days)
123|ttosw|Ignore #Time to OS (wk)
124|ttcosw|Ignore #Time to OS event (censored) (wk) 
214|mmstatus|MM status (derived)
215|mmstatus1|Line 1 MM status (derived)
216|mmstatus2|Line 2 MM status (derived)
217|mmstatus3|Line 3 MM status (derived)
220|pfsendy|Ignore #PFS Event or Censor Date
221|osendy|Ignore #OS Event or Censor Date
226|enr|Ignore #Enrolled Population
