Table name: `stand_alone_survival`
Description: Right-censored survival information of each patient (overall survival; OS, progression free survival; PFS) as well as various treatment lines and treatment responses (disease progression). PFS by treatment line is also available.
Format: column_number | field_name | description
# Identifier columns
1|public_id|Index column. Patient public identifier. MMRF_ followed by 4 unique digits. e.g. MMRF_1234
# Fields related to response and duration of response
182|ttrdur|Duration of response
183|censrdur|Censor flag: response duration
184|rdurcdy|Response duration censored date
185|ttcrdur|Time to response duration (censored)
186|ttrdurw|Duration of response (wk)
187|ttcrdurw|Time to response duration (censored) (wk)
188|ttrdur1|Duration of response line 1
189|censrdur1|Censor flag: response duration line 1
190|rdur1cdy|Response duration censored date line 1
191|ttcrdur1|Time to response duration (censored) line 1
192|ttrdur1w|Duration of response (wk) line 1
193|ttcrdur1w|Time to response duration (censored) (wk) line 1
194|ttrdur2|Duration of response line 2
195|censrdur2|Censor flag: response duration line 2
196|rdur2cdy|Response duration censored date line 2
197|ttcrdur2|Time to response duration (censored) line 2
198|ttrdur2w|Duration of response (wk) line 2
199|ttcrdur2w|Time to response duration (censored) (wk) line 2
200|ttrdur3|Duration of response line 3
201|censrdur3|Censor flag: response duration line 3
202|rdur3cdy|Response duration censored date line 3
203|ttcrdur3|Time to response duration (censored) line 3
204|ttrdur3w|Duration of response (wk) line 3
205|ttcrdur3w|Time to response duration (censored) (wk) line 3
